T,T_actual,H,I,V1,V2,V3,V4,V5,V6,V7,V8
341,340.9715073,-0.024491463,0.001,63.12899562,-62.92496834,25.41267273,-25.81014705,62.89457006,-63.03711267,25.64712449,-25.70821198
340,339.9717957,-0.008980203,0.001,63.15959593,-62.81285109,25.47384947,-25.8713093,62.8639649,-63.11864334,25.60632344,-25.66744694
339,338.971524,0.004081911,0.001,62.92507506,-62.86380319,25.44324549,-25.86111256,62.751859,-63.0064354,25.58594516,-25.83052642
338,337.9719284,0.005714675,0.001,63.07805915,-62.80263524,25.43305065,-25.93247522,62.82326594,-62.85361719,25.56557339,-25.82032645
337,336.9720367,-0.038369959,0.001,63.00662765,-62.74151951,25.42288015,-25.75918019,62.66009228,-62.96571602,25.54517382,-25.73876803
336,335.9709885,-0.03836996,0.001,62.92515017,-62.63951817,25.42284735,-25.84070855,62.68052172,-62.87394343,25.47383936,-25.59607438
335,334.9710449,-0.056330365,0.001,62.91492782,-62.57838789,25.46365075,-25.7285958,62.74168261,-62.79247661,25.4636381,-25.6878068
334,333.9712875,-0.067759715,0.001,62.8232106,-62.63947913,25.45342588,-25.76936692,62.62948394,-62.82302763,25.56556523,-25.70815964
333,332.9710068,-0.003265528,0.001,62.75182904,-62.48661678,25.42285376,-25.68783183,62.61929603,-62.80258557,25.54517499,-25.81014784
332,331.9704269,-0.033471666,0.001,62.83340538,-62.51724786,25.39227425,-25.75918317,62.56837541,-62.67013004,25.46362971,-25.70818447
331,330.9715088,-0.037553577,0.001,62.63972743,-62.58857748,25.41266441,-25.72860486,62.5377574,-62.62933801,25.5553769,-25.51454131
330,329.9693298,-0.089802033,0.001,62.7110564,-62.6191676,25.28014908,-25.67762081,62.45622731,-62.5783264,25.44324136,-25.54511066
329,328.9711426,-0.047350162,0.001,62.66012138,-62.51723645,25.25977479,-25.62664651,62.4154887,-62.69049839,25.33111081,-25.58587941
328,327.9706268,-0.040002723,0.001,62.46643202,-62.40509201,25.33112739,-25.58586791,62.42569556,-62.57837793,25.3515173,-25.58587922
327,326.970401,-0.039186341,0.001,62.52757762,-62.32351429,25.26997841,-25.66741822,62.43588969,-62.39488522,25.37188027,-25.56546705
326,325.9701263,-0.074290774,0.001,62.5173765,-62.16039233,25.21897734,-25.65724623,62.27269641,-62.48660298,25.34130742,-25.58587008
325,324.970372,-0.043268251,0.001,62.61929154,-62.22158264,25.23934613,-25.58587617,62.22178998,-62.35406736,25.46363606,-25.5450849
324,323.9706894,-0.065310569,0.001,62.33383688,-62.17063044,25.36169001,-25.6572265,62.07899292,-62.32353578,25.41265472,-25.47374872
323,322.970575,-0.080005448,0.001,62.25235475,-62.03805884,25.22918765,-25.61645546,62.08926746,-62.24196717,25.37186947,-25.44317979
322,321.9700775,-0.047350163,0.001,62.33387592,-61.94638883,25.22916562,-25.63683861,62.08924055,-62.22155343,25.38208331,-25.33103071
