0.0000100000,60000.3757812500,300.0008682251,-0.0018192813,-0.0139743952,-0.0070450595,-0.0012620480,0.0000836326,1.0000000000
0.0000100000,59000.5255859375,300.0005279541,-0.0017898638,-0.0215366962,-0.0070290854,-0.0015843923,0.0000836053,1.0000000000
0.0000100000,58000.5294921875,300.0013839722,-0.0017570893,-0.0273861517,-0.0061527310,-0.0013214797,0.0000872359,1.0000000000
0.0000100000,57000.4162109375,300.0009201050,-0.0017319216,-0.0301944876,-0.0058523518,-0.0011272084,0.0000849827,1.0000000000
0.0000100000,56000.2601562500,300.0007400513,-0.0017031591,-0.0336776402,-0.0075966156,-0.0017363184,0.0000816441,1.0000000000
0.0000100000,55000.3953125000,300.0000259399,-0.0016808201,-0.0359294678,-0.0065754578,-0.0015093823,0.0000824833,1.0000000000
0.0000100000,54000.5195312500,300.0015518188,-0.0016495320,-0.0289676382,-0.0047962427,-0.0010246695,0.0000830580,1.0000000000
0.0000100000,53000.1814453125,300.0005783081,-0.0016169674,-0.0314270013,-0.0051357991,-0.0010702887,0.0000820638,1.0000000000
0.0000100000,52000.2208984375,300.0009765625,-0.0015885523,-0.0281882980,-0.0056037811,-0.0013062096,0.0000809053,1.0000000000
0.0000100000,51000.3636718750,300.0011230469,-0.0015613142,-0.0366813048,-0.0060803046,-0.0014408132,0.0000826932,1.0000000000
0.0000100000,50000.4515625000,300.0011093140,-0.0015328082,-0.0353761211,-0.0061554962,-0.0015295518,0.0000838608,1.0000000000
0.0000100000,49000.6269531250,300.0015350342,-0.0015086349,-0.0341689219,-0.0047898477,-0.0013735294,0.0000829121,1.0000000000
