0.0000500000,-0.0006789038,0.0037991060,0.0025349736,0.0091532891
0.0001000000,-0.0027837179,0.0058992754,-0.0005366002,0.0107667050
0.0001500000,-0.0049865936,0.0079116877,-0.0029297612,0.0131054161
0.0002000000,-0.0071163986,0.0100298237,-0.0057557596,0.0186129405
0.0002500000,-0.0087007126,0.0119744599,-0.0082312920,0.0188297651
0.0003000000,-0.0114516386,0.0140056678,-0.0105176350,0.0209991743
0.0003500000,-0.0135640196,0.0162176731,-0.0133350645,0.0236707432
0.0004000000,-0.0157282209,0.0181800134,-0.0161037792,0.0266738279
0.0004500000,-0.0180516946,0.0201587712,-0.0186275729,0.0288293659
0.0005000000,-0.0199836493,0.0223937616,-0.0215090340,0.0308618441
0.0005500000,-0.0220991366,0.0244773221,-0.0242349644,0.0340119627
0.0006000000,-0.0242486437,0.0265724740,-0.0269506734,0.0365146746
0.0006500000,-0.0264567214,0.0286963520,-0.0300064566,0.0394561773
0.0007000000,-0.0285448324,0.0307548409,-0.0327918678,0.0441142545
0.0007500000,-0.0299472563,0.0328268184,-0.0309026082,0.0470157141
0.0008000000,-0.0329319833,0.0349388493,-0.0380103027,0.0471675907
0.0008500000,-0.0348813551,0.0370411202,-0.0404130415,0.0523419906
0.0009000000,-0.0369310754,0.0392617967,-0.0408945838,0.0526109024
0.0009500000,-0.0417085493,0.0413221808,-0.0461682949,0.0558745939
0.0010000000,-0.0456155985,0.0433929823,-0.0484260068,0.0585546430
