0.0010000000,10000.1070312500,299.9838500977,-934.0887420419,934.4253522651,931.9498959465,-931.7251736286,0.0000006867
0.0010000000,9000.4469726562,300.0100540161,-934.0519003451,934.1207477401,931.9367756245,-931.8551397425,0.0000006326
0.0010000000,8000.5274902344,300.0035934448,-933.9860915913,933.9964827639,931.8501871145,-931.6771117283,0.0000006092
0.0010000000,7000.4292236328,300.0024307251,-933.6684555744,933.7342885320,932.0473896680,-931.9410581073,0.0000005944
0.0010000000,6000.4550048828,300.0003219604,-933.6395942197,933.6405458891,932.1853378042,-932.1259887490,0.0000006010
0.0010000000,5000.3788574219,300.0011260986,-933.4626168604,933.5562534106,932.3262579058,-932.2690548309,0.0000006016
0.0010000000,4000.1409790039,300.0013137817,-933.3598736690,933.3906660353,932.4824075268,-932.3923868162,0.0000005985
0.0010000000,3000.4009887695,300.0012054443,-933.2517231938,933.2166096116,932.5854067830,-932.4583716366,0.0000005957
0.0010000000,2000.1875854492,300.0009780884,-933.0792582317,933.0381972948,932.6191300116,-932.5220409389,0.0000006058
0.0010000000,1000.2272979736,300.0008529663,-932.8990798616,932.9274861406,932.7925539294,-932.6974693223,0.0000006014
0.0010000000,0.0408191051,300.0016830444,-932.7180275487,932.7456592787,932.8746473217,-932.8393312043,0.0000005934
0.0010000000,-1000.6012023926,300.0008621216,-932.5817540077,932.6089762362,932.9769666667,-932.9103296408,0.0000005863
0.0010000000,-2000.2169555664,300.0012817383,-932.4468527408,932.4350246234,933.0731855778,-932.9797205498,0.0000006025
0.0010000000,-3000.6083251953,300.0006973267,-932.2262962357,932.2616034549,933.1565810534,-933.0491809293,0.0000005975
0.0010000000,-4000.2527832031,300.0015487671,-932.1008226688,932.1062940662,933.2330991903,-933.1529045961,0.0000005920
0.0010000000,-5000.2513671875,300.0011123657,-931.9550878928,932.0338819119,933.4481892537,-933.3139153992,0.0000005917
0.0010000000,-6000.2149658203,300.0005401611,-931.8804229002,931.8875439364,933.5918050070,-933.5227698148,0.0000005946
0.0010000000,-7000.2145507813,299.9995483398,-931.7862440957,931.7657574822,933.7414891110,-933.6585865344,0.0000006036
0.0010000000,-8000.3537109375,300.0008468628,-931.6236886380,931.6466844507,933.8638581534,-933.7368005499,0.0000005946
0.0010000000,-9000.2420898438,300.0009445190,-931.4670142573,931.5255556384,933.9657507040,-933.8858316070,0.0000005923
0.0010000000,-10000.4169921875,300.0006774902,-931.3637408170,931.3769423953,934.0628048093,-933.9898004254,0.0000005953
0.0010000000,-10000.4234375000,300.0006652832,-931.3103680838,931.3114653781,934.0552678214,-933.9998296549,0.0000005991
0.0010000000,-9000.4674316406,299.9991195679,-931.4765964907,931.5120619331,933.9603419875,-933.8779133202,0.0000005963
0.0010000000,-8000.3774414063,300.0010513306,-931.6445321571,931.6392416070,933.8700697461,-933.7504920435,0.0000006005
0.0010000000,-7000.4520019531,300.0017410278,-931.7992216633,931.7743848472,933.6999877474,-933.6264859860,0.0000005869
0.0010000000,-6000.4796386719,300.0013137817,-931.9344314435,931.9601602152,933.6160938066,-933.5371764447,0.0000005941
0.0010000000,-5000.3175537109,300.0001068115,-932.0939784260,932.1399193221,933.5684374259,-933.4536077367,0.0000006001
0.0010000000,-4000.3139770508,300.0010375977,-932.2416813032,932.2792612413,933.4462320674,-933.3604671455,0.0000005926
0.0010000000,-3000.4654907227,300.0010269165,-932.3930327465,932.3961659307,933.2979674590,-933.2706250487,0.0000005973
0.0010000000,-2000.2332702637,300.0014709473,-932.5720987738,932.6069659408,933.2349863337,-933.1627031816,0.0000006008
0.0010000000,-1000.5816040039,300.0013870239,-932.7319571997,932.8183431078,933.1608179992,-933.0612271887,0.0000006086
0.0010000000,-0.1208245553,300.0005386353,-932.9733864035,932.9919670810,933.0916820149,-933.0726334732,0.0000006024
0.0010000000,1000.5023803711,300.0005081177,-933.1493983153,933.1559655218,933.0117235238,-932.9001326426,0.0000006048
0.0010000000,2000.4178833008,300.0008239746,-933.3175315585,933.3033813596,932.8444263971,-932.7518572969,0.0000006024
0.0010000000,3000.4475097656,300.0011306763,-933.3445828048,933.3763178118,932.7102310477,-932.6089153217,0.0000005983
0.0010000000,4000.4494628906,300.0004608154,-933.5119118256,933.5239686461,932.5906534643,-932.5165812181,0.0000006065
0.0010000000,5000.2652832031,300.0004486084,-933.7529704497,933.7668980288,932.5529963633,-932.5488469426,0.0000006097
0.0010000000,6000.1684082031,300.0006851196,-933.9005443971,933.9522355144,932.4897136172,-932.4152082131,0.0000005949
0.0010000000,7000.5891845703,300.0010894775,-934.0567584876,933.9997803084,932.2512486742,-932.1256605742,0.0000005818
0.0010000000,8000.2637451172,300.0003097534,-934.1129046497,934.1627014210,932.1499705348,-932.0298538304,0.0000005888
0.0010000000,9000.3914062500,300.0008987427,-934.2764446280,934.2873279078,932.0098550754,-931.9026435352,0.0000005993
0.0010000000,10000.4489257812,300.0006072998,-934.3528680514,934.3878730355,931.8350688413,-931.7696441775,0.0000005904
