Magnetic Field (Oe)	Bridge 1 Excitation (uA)	Bridge 1 Std. Dev. (Ohm)	Bridge 1 Resistance (Ohms)
10000.4483203125	799.999755859375	1.80065081746861e-005	0.0126244711130857
9800.5705859375	799.999755859375	1.58506438079656e-005	0.0126718226075172
9600.42296875	799.999755859375	1.7182430371223e-005	0.0127255494892597
9400.554296875	799.999755859375	1.7098411166451e-005	0.0127743308991194
9200.37234375	799.999755859375	1.91804092359106e-005	0.012831000238657
9000.39453125	799.999755859375	1.86078095937853e-005	0.0128781487047672
8800.476953125	799.999755859375	1.90251049875312e-005	0.0129257805272937
8600.5169140625	799.999755859375	1.88484599211782e-005	0.0129762863367796
8400.5253515625	799.999755859375	1.34792550160352e-005	0.0130276423692703
8200.420625	799.999755859375	1.94978092881147e-005	0.0130788636207581
8000.263125	799.999755859375	1.50542169429599e-005	0.013123750500381
7800.489921875	799.999755859375	1.7234777521045e-005	0.0131766794621944
7600.39923828125	799.999755859375	1.63410999355045e-005	0.0132307058572769
7400.23470703125	799.999755859375	2.15955662303044e-005	0.0132696278765798
7200.4346875	799.999755859375	1.83727023511649e-005	0.0133224047720432
7000.5575	799.999755859375	1.65132807256202e-005	0.0133795621991158
6800.43626953125	799.999755859375	2.2017603759236e-005	0.0134325875714421
6600.4455078125	799.999755859375	2.40013340274421e-005	0.0134826056659222
6400.52775390625	799.999755859375	2.29468826249696e-005	0.0135203986614943
6200.37833984375	799.999755859375	2.04445217980228e-005	0.0135784804448485
6000.40265625	799.999755859375	1.48896978151804e-005	0.0136274103820324
5800.50009765625	799.999755859375	1.36434981686673e-005	0.0136850184574723
5600.3165234375	799.999755859375	1.59320023571292e-005	0.0137314265221357
5400.3648828125	799.999755859375	2.07269637790191e-005	0.0137746098265052
5200.28873046875	799.999755859375	2.22740869200152e-005	0.0138277787715197
5000.31623046875	799.999755859375	1.49832937056734e-005	0.013883865699172
4800.3209765625	799.999755859375	1.81322691242112e-005	0.0139288716763258
4600.30658203125	799.999755859375	1.84516751212788e-005	0.0139750366285443
4400.33998046875	799.999755859375	1.93168641121113e-005	0.0140321442112327
4200.55623046875	799.999755859375	1.43242588645736e-005	0.01408157851547
4000.49048828125	799.999755859375	1.32878668946661e-005	0.014128110781312
3800.55064453125	799.999755859375	1.86390908516039e-005	0.0141836575046182
3600.52729492188	799.999755859375	1.93554746230979e-005	0.0142285495623946
3400.46196289062	799.999755859375	1.80336207859261e-005	0.0142792491614819
3200.392890625	799.999755859375	1.72893368822034e-005	0.0143303674459457
3000.53728515625	799.999755859375	1.93695434444042e-005	0.0143785348907113
2800.260546875	799.999755859375	1.16403258176384e-005	0.0144308911636472
2600.57868164062	799.999755859375	1.47475704693831e-005	0.0144798887148499
2400.27305664062	799.999755859375	1.52839564992296e-005	0.0145358771458268
2200.21182617188	799.999755859375	1.54178608074454e-005	0.0145745214819908
2000.09959472656	799.999755859375	1.47073651475476e-005	0.0146290054544806
1800.43664550781	799.999755859375	1.6019584573661e-005	0.0146782289072871
