Magnetic Field (Oe)	Bridge 1 Excitation (uA)	Bridge 1 Std. Dev. (Ohm)	Bridge 1 Resistance (Ohms)
-10000.2476171875	799.999755859375	1.98515049892764e-005	0.0176255234330893
-9800.4966015625	799.999755859375	1.75481682999621e-005	0.0175739732384682
-9600.4960546875	799.999755859375	1.76195565701952e-005	0.0175238334387541
-9400.429453125	799.999755859375	2.04303510631187e-005	0.0174702418595552
-9200.4578515625	799.999755859375	1.2216779695441e-005	0.017420149743557
-9000.5309765625	799.999755859375	1.91196738509742e-005	0.0173745805770159
-8800.375234375	799.999755859375	1.9597204313432e-005	0.0173239429295063
-8600.4171484375	799.999755859375	1.70490754221844e-005	0.0172688529640436
-8400.44671875	799.999755859375	1.75436625101783e-005	0.0172267542034388
-8200.321796875	799.999755859375	1.93752933296638e-005	0.0171697610616684
-8000.42451171875	799.999755859375	1.87880693194226e-005	0.0171253747493029
-7800.36642578125	799.999755859375	1.59007999024102e-005	0.0170705424249172
-7600.26595703125	799.999755859375	1.72276033646864e-005	0.0170204703509808
-7400.3287890625	799.999755859375	2.2763661029285e-005	0.016968851312995
-7200.30935546875	799.999755859375	1.87378211938654e-005	0.0169137666374445
-7000.49625	799.999755859375	1.82496762914165e-005	0.0168694514781237
-6800.3519921875	799.999755859375	2.12244660519093e-005	0.0168223055452108
-6600.35328125	799.999755859375	1.78439824173605e-005	0.0167662221938372
-6400.43626953125	799.999755859375	1.84010918525943e-005	0.0167201051861048
-6200.298046875	799.999755859375	1.75999423488838e-005	0.0166705192625523
-6000.30203125	799.999755859375	1.77819632819928e-005	0.0166191227734089
-5800.38771484375	799.999755859375	1.35920042776314e-005	0.0165694827586412
-5600.2533203125	799.999755859375	1.44522157303057e-005	0.016523212492466
-5400.2480859375	799.999755859375	2.36752432719081e-005	0.0164676100760698
-5200.29921875	799.999755859375	1.62559544650105e-005	0.0164280055463314
-5000.3555078125	799.999755859375	1.90720028192039e-005	0.0163717196881771
-4800.3568359375	799.999755859375	1.60453119458321e-005	0.0163189650326967
-4600.2060546875	799.999755859375	2.02361706081614e-005	0.0162697226554155
-4400.2637109375	799.999755859375	2.01170236163902e-005	0.0162198793143034
-4200.26302734375	799.999755859375	1.82316963918163e-005	0.0161645380407572
-4000.37688476563	799.999755859375	2.0677785996551e-005	0.0161188187450171
-3800.23588867187	799.999755859375	1.92286212454665e-005	0.0160689835250378
-3600.26069335938	799.999755859375	1.8758543130395e-005	0.0160257709026337
-3400.47305664063	799.999755859375	1.95186070947352e-005	0.0159704141318798
-3200.54631835938	799.999755859375	1.67363914772525e-005	0.0159233751147985
-3000.55361328125	799.999755859375	1.845535907275e-005	0.0158704539388418
-2800.4074609375	799.999755859375	1.68475377268281e-005	0.0158208484947681
-2600.24359375	799.999755859375	2.00861070607435e-005	0.0157706046104431
-2400.46250976562	799.999755859375	1.50193982255547e-005	0.0157217898964882
-2200.23666992188	799.999755859375	1.96903317304792e-005	0.015665668733418
-2000.32224609375	799.999755859375	1.77524821314173e-005	0.0156167888268828
-1800.16956054687	799.999755859375	2.40787795776659e-005	0.0155668624863029
-1600.39825195313	799.999755859375	1.85962296126596e-005	0.0155140891671181
-1400.26123046875	799.999755859375	2.20506333591974e-005	0.0154703472554684
-1200.49643066406	799.999755859375	2.41533462776705e-005	0.0154162142425776
-1000.29145263672	799.999755859375	1.95456960625492e-005	0.0153668849170208
-800.57171875	799.999755859375	2.12163103400824e-005	0.0153145081549883
-600.626030273438	799.999755859375	1.91802215817176e-005	0.0152680298686028
-400.394934082031	799.999755859375	1.81026288900542e-005	0.0152177605777979
-200.226529541016	799.999755859375	1.81241633256655e-005	0.0151676348596811
-0.0248180156946182	799.999755859375	1.41045967364075e-005	0.0151144118979573
