0.0010000000,10000.3173828125,300.0005493164,9387.3009826570,-9387.2667092170,8267.0410981180,-8267.0335088090,-9387.4068251610,9387.4225708530,-8266.8735144210,8267.0410986930,-0.0000016716,1000000.0000000000
0.0010000000,9000.5270996094,300.0007965088,9387.3857249220,-9387.3808199140,8267.0655995620,-8267.0009048370,-9387.4505534070,9387.3897962410,-8266.8809057030,8267.0565873400,-0.0000016767,1000000.0000000000
0.0010000000,8000.5039306641,300.0009368896,9387.5305061570,-9387.4940357070,8267.2105232570,-8267.2278503480,-9387.6060359970,9387.5716954590,-8266.9804789490,8267.2467532120,-0.0000016808,1000000.0000000000
0.0010000000,7000.5624511719,300.0007858276,9387.6503342540,-9387.5833638950,8267.2791191970,-8267.2541642200,-9387.6755666250,9387.6444064640,-8267.1459089440,8267.2891823460,-0.0000017021,1000000.0000000000
0.0010000000,6000.5171142578,300.0000045776,9387.6467673600,-9387.6427222090,8267.3063339790,-8267.2963446340,-9387.6839943410,9387.6834254640,-8267.1253018390,8267.2165963350,-0.0000017230,1000000.0000000000
0.0010000000,5000.4554443359,300.0014480591,9387.7116998520,-9387.6800110140,8267.3800888400,-8267.3240975890,-9387.7244182000,9387.7006082020,-8267.1808590320,8267.3725703070,-0.0000017345,1000000.0000000000
0.0010000000,5000.4604492188,300.0012039185,9387.8236990870,-9387.7185184740,8267.3790955270,-8267.3854060190,-9387.6897444460,9387.6996776500,-8267.2434603450,8267.3834653530,-0.0000017490,1000000.0000000000
0.0010000000,4500.4100341797,300.0015411377,9387.7257143880,-9387.6744382680,8267.3694942140,-8267.3823391750,-9387.6749703510,9387.7129438330,-8267.1544259360,8267.3552414320,-0.0000017767,1000000.0000000000
0.0010000000,4000.3613525391,300.0007598877,9387.7190043440,-9387.7097011680,8267.4090713300,-8267.3432314220,-9387.7765915470,9387.7194853920,-8267.2351762730,8267.4460130170,-0.0000017862,1000000.0000000000
0.0010000000,3500.3631347656,300.0010025024,9387.7902288040,-9387.7729536720,8267.4884652910,-8267.4137779350,-9387.7564934470,9387.7245513640,-8267.2960144000,8267.5045755740,-0.0000017929,1000000.0000000000
0.0010000000,3000.6124267578,300.0012451172,9387.8338655620,-9387.7080147900,8267.4520209480,-8267.4647036600,-9387.8008899940,9387.7903881810,-8267.3334401290,8267.5421333810,-0.0000018020,1000000.0000000000
0.0010000000,2500.3644531250,300.0011535645,9387.9128856060,-9387.7336550880,8267.4720909560,-8267.4978914180,-9387.9666431090,9387.8480254790,-8267.3239754650,8267.5438647400,-0.0000018031,1000000.0000000000
0.0010000000,2000.3802551270,300.0003707886,9387.9573240570,-9387.8452058540,8267.5363891760,-8267.4682880710,-9387.8941183320,9387.8805460040,-8267.3694157780,8267.5161413250,-0.0000018140,1000000.0000000000
0.0010000000,1500.4164184570,300.0015701294,9387.9363850980,-9387.8613320970,8267.5407164900,-8267.5292704610,-9387.8626022970,9387.9058254480,-8267.3641295230,8267.5878473000,-0.0000018060,1000000.0000000000
0.0010000000,1000.2313842773,300.0007186890,9387.9876630340,-9387.9065132910,8267.4990735510,-8267.4752880380,-9387.9368274080,9387.8597482540,-8267.4123351230,8267.5611534860,-0.0000018046,1000000.0000000000
0.0010000000,500.4365203857,300.0010543823,9387.9367813210,-9387.9230744480,8267.5848487980,-8267.5179627360,-9387.9024770780,9387.9211173600,-8267.4519382100,8267.5940310500,-0.0000018147,1000000.0000000000
0.0010000000,-0.2114429638,300.0010482788,9388.0277684850,-9387.8741599040,8267.6113022270,-8267.5411689110,-9387.8977517250,9387.9337471830,-8267.4644798230,8267.6719995510,-0.0000018221,1000000.0000000000
0.0010000000,-500.1042526245,300.0008666992,9387.9575171840,-9387.9428962720,8267.5823843810,-8267.5159823430,-9387.8394838960,9387.8558884600,-8267.4424480670,8267.6740903550,-0.0000018099,1000000.0000000000
0.0010000000,-1000.4158599854,300.0007888794,9388.0749053710,-9387.9480975240,8267.5950591270,-8267.5579025550,-9387.9866723720,9387.9615001650,-8267.4778081730,8267.5798201950,-0.0000018268,1000000.0000000000
0.0010000000,-1500.3021667480,300.0003967285,9388.0676161990,-9387.9702665300,8267.6240789100,-8267.5592480250,-9387.9739001170,9387.9789980230,-8267.4737036040,8267.5825219190,-0.0000018175,1000000.0000000000
0.0010000000,-2000.4872436523,300.0005584717,9388.0094995430,-9387.9266568250,8267.5885177960,-8267.5396221310,-9388.0111103250,9387.9041703390,-8267.4378484350,8267.6126350560,-0.0000018159,1000000.0000000000
0.0010000000,-2500.2208129883,299.9999954224,9388.0548270770,-9387.9981524210,8267.6342529690,-8267.5838741920,-9388.0207723430,9387.9114406310,-8267.4045214890,8267.6241544120,-0.0000018186,1000000.0000000000
0.0010000000,-3000.5364990234,300.0008880615,9388.1056783210,-9387.9650255100,8267.6031671440,-8267.5564537570,-9387.9704379240,9387.9390888500,-8267.5163130390,8267.6970348190,-0.0000018252,1000000.0000000000
0.0010000000,-3500.4293579102,300.0009933472,9388.0292136140,-9387.9425933340,8267.6665907790,-8267.5538101100,-9387.9631753210,9387.8748982930,-8267.5025155550,8267.6243953540,-0.0000018252,1000000.0000000000
0.0010000000,-4000.5760009766,300.0006317139,9388.0915285550,-9387.8527926620,8267.5706114140,-8267.5569646200,-9387.9633698790,9387.9373336660,-8267.5202984880,8267.6222767680,-0.0000018310,1000000.0000000000
0.0010000000,-4500.0010253906,300.0007614136,9387.9498734500,-9387.9271348460,8267.6388512260,-8267.5907791180,-9387.9735615470,9387.9718638410,-8267.4804011650,8267.6151826380,-0.0000018316,1000000.0000000000
