,I,B,T,V1,V2,V3,V4,V5,V6,V7,V8,multiplier,RHc,RHd,R
0,0.001,10000,117.9784244537,10.254516986,-10.261875894,-22.626898831,22.632829026,22.770071545,-22.778401609,-10.486670043,10.558256217,1000000.0,-0.025032080274,-0.024214801597,-0.0246234409355
1,0.001,9000,118.0090782166,10.781923377,-10.751168177,-22.147710826,22.167851112,22.374282169,-22.355511611,-10.920983473,10.948606488,1000000.0,-0.023196702226,-0.022445971977000004,-0.0228213371015
2,0.001,8000,118.0030975342,11.159224392,-11.149300201,-21.746316509,21.757107163,21.962120602,-21.935134925,-11.316476234,11.362911294,1000000.0,-0.021588730933999996,-0.020824036143999997,-0.021206383538999996
3,0.001,7000,117.9990997314,11.541887164,-11.524173553,-21.327067192,21.350770942,21.559005651,-21.532460211,-11.718444599,11.715553253,1000000.0,-0.020025405145,-0.019243840281999998,-0.0196346227135
4,0.001,6000,117.9989395142,11.946583877,-11.919263968,-20.920760556,20.952761028,21.162912697,-21.118971561,-12.102530409,12.123180195,1000000.0,-0.018416036413,-0.01764781098,-0.018031923696500002
5,0.001,5000,117.9995246887,12.321571212,-12.296877985,-20.515063404,20.544911852,20.722631745,-20.72429964,-12.465779408,12.518482624,1000000.0,-0.016828482188000003,-0.016075713224,-0.016452097706
6,0.001,4500,117.9999214172,12.516747438,-12.49204776,-20.289950556,20.341667422,20.556877292,-20.535694533,-12.689261492,12.697086476,1000000.0,-0.016083776626999998,-0.01524527001,-0.0156645233185
7,0.001,4000,118.0001483917,12.681493139,-12.674984023,-20.109130824,20.126989638,20.377481112,-20.312317647,-12.879189274,12.893571612,1000000.0,-0.015333321597000002,-0.014463359576000003,-0.014898340586500003
8,0.001,3500,118.0002738953,12.885460473,-12.864495678,-19.906770233,19.945547435,20.170086095,-20.167877042,-13.04384025,13.084904194,1000000.0,-0.014588006986,-0.013723573223999995,-0.014155790104999996
9,0.001,3000,118.0006023407,13.071543893,-13.056838606,-19.71089162,19.757964052,19.998646473,-19.934018158,-13.239597258,13.263007719,1000000.0,-0.013804282132000004,-0.012966250695000002,-0.013385266413500003
10,0.001,2500,118.000497818,13.243255597,-13.233626532,-19.519870396,19.565914884,19.792785099,-19.756326371,-13.416688913,13.453826721,1000000.0,-0.013072229341,-0.012215269646,-0.0126437494935
11,0.001,2000,118.000636673,13.438128497,-13.39421452,-19.358755658,19.381054031,19.611151782,-19.597525327,-13.571532429,13.626472074,1000000.0,-0.012376334092,-0.011541805185999995,-0.011959069638999998
12,0.001,1500,118.0003334045,13.614998245,-13.574035364,-19.147523637,19.183247369,19.418503669,-19.403780256,-13.764085974,13.806474139,1000000.0,-0.011633250316000002,-0.010760210892999998,-0.0111967306045
13,0.001,1000,118.0004627228,13.78765551,-13.732309395,-18.969123767,19.022337085,19.258785725,-19.221341729,-13.92791755,13.955061945,1000000.0,-0.010960162548999995,-0.010108481357000001,-0.010534321952999998
14,0.001,500,118.000056839,13.902671061,-13.876133454,-18.8182153,18.857701777,19.103851681,-19.079749044,-14.069234094,14.123946511,1000000.0,-0.010404796210000001,-0.009482736471999991,-0.009943766340999995
15,0.001,0,118.0002681732,14.017282471,-13.969437246,-18.716851432,18.735696652,18.970127245,-18.938431271,-14.178791963,14.218048889,1000000.0,-0.009921838799,-0.009055707231999997,-0.0094887730155
16,0.001,-500,118.0005535126,14.047309095,-14.009669351,-18.675103889,18.705675313,18.951433588,-18.90994727,-14.220235472,14.24484111,1000000.0,-0.009804402412000002,-0.00891570262,-0.009360052516
17,0.001,-1000,118.0003799438,13.78584768,-13.74414806,-18.963880187,19.017206854,19.213024633,-19.171923535,-13.963310893,13.985886669,1000000.0,-0.010854952428000001,-0.010031889479000003,-0.010443420953500003
18,0.001,-1500,118.0004154205,12.584571212,-12.51953792,-20.250737245,20.312063213,20.333508863,-20.376425575,-12.720392983,12.73741198,1000000.0,-0.015605825306,-0.015104995494999999,-0.0153554104005
19,0.001,-2000,118.0002666473,12.055352636,-12.038847022,-20.787650904,20.813292123,20.835041233,-20.784147975,-12.183103885,12.248321507,1000000.0,-0.017524989549999998,-0.017169517635,-0.0173472535925
20,0.001,-2500,118.0006061554,14.835791804,-14.89376796,-18.115065559,18.118353431,18.113438901,-18.006663017,-14.924113908,14.987939463,1000000.0,-0.0063905421539999984,-0.006321365619000001,-0.006355953886499999
21,0.001,-3000,118.0006885529,17.657547429,-17.665786977,-15.406297034,15.396655851,15.308845721,-15.241379184,-17.616401731,17.681138278,1000000.0,0.004773109501,0.004494587123999999,0.004633848312499999
22,0.001,-3500,118.0002716064,19.110169071,-19.121554402,-14.005625096,14.022557601,13.882500743,-13.826656842,-18.966346981,19.007248688,1000000.0,0.010522565888000001,0.009945412972000004,0.010233989430000003
23,0.001,-4000,118.0005126953,19.792861195,-19.760943111,-13.329238215,13.347172135,13.239262623,-13.178469045,-19.623934987,19.676353048,1000000.0,0.013136072638000002,0.012623877685,0.012879975161500001
24,0.001,-4500,118.0000637054,20.209759404,-20.196472001,-12.928888539,12.981485267,12.814752664,-12.777611766,-20.027705662,20.064066218,1000000.0,0.014813866975,0.014181398073999997,0.014497632524499999
25,0.001,-5000,118.0001224518,20.523403924,-20.484632224,-12.627712657,12.664617249,12.532340496,-12.489132725,-20.330937633,20.359710593,1000000.0,0.015986562927000004,0.015398318320000002,0.015692440623500004
26,0.001,-6000,118.0006633759,21.025849621,-21.015061906,-12.13506893,12.189177986,12.062566573,-12.039163081,-20.842074344,20.892451148,1000000.0,0.017939181873000004,0.017410278576,0.0176747302245
27,0.001,-7000,118.0005821228,21.493524826,-21.472514373,-11.716721257,11.743441575,11.626832649,-11.612042863,-21.316692875,21.333148058,1000000.0,0.019727163687,0.019189678100999998,0.019458420894
28,0.001,-8000,118.0003543854,21.921661933,-21.924644609,-11.295043557,11.338033603,11.236074921,-11.176297809,-21.780629552,21.79546635,1000000.0,0.021433933812,0.020943018742000004,0.021188476277000004
29,0.001,-9000,118.0006408691,22.34941805,-22.30880719,-10.918656782,10.92150753,10.810958439,-10.77140569,-22.2034275,22.231192791,1000000.0,0.023075861111,0.022594455979000002,0.022835158545
30,0.001,-10000,118.0003925323,22.808701019,-22.753211711,-10.500212663,10.538121875,10.427784445,-10.395204709,-22.61391662,22.643760352,1000000.0,0.024738923576000004,0.024219342434,0.024479133005
31,0.001,-10000,118.0004547119,22.770071545,-22.778401609,-10.486670043,10.558256217,10.254516986,-10.261875894,-22.626898831,22.632829026,1000000.0,0.025032080274,0.024214801597,0.0246234409355
