,I,B,T,V1,V2,V3,V4,V5,V6,V7,V8,multiplier,RHc,RHd,R
0,0.001,10000,116.0036136627,4.880528813,-4.932670507,-27.456381251,27.508428976,27.687840946,-27.666633024,-5.139265976,5.187187372,1000000.0,-0.045541274650000005,-0.044638356879,-0.0450898157645
1,0.001,9000,116.0180091858,5.453407497,-5.418631221,-26.988828917,27.033484815,27.248900391,-27.223837726,-5.591063497,5.596839831,1000000.0,-0.043600699399,-0.042834410404,-0.043217554901500005
2,0.001,8000,116.0051235199,5.846078499,-5.829493759,-26.568876974,26.612433316,26.793976478,-26.763181266,-5.993640897,6.023266921,1000000.0,-0.041881585486,-0.041164402472,-0.041522993979
3,0.001,7000,115.9987262726,6.25109079,-6.212460331,-26.123360512,26.151439386,26.359457042,-26.343921449,-6.401873962,6.457077065,1000000.0,-0.04023982737,-0.039415848871000005,-0.0398278381205
4,0.001,6000,115.9981105804,6.663466328,-6.653943236,-25.689352002,25.756828163,25.936158701,-25.921219182,-6.81435541,6.8700558,1000000.0,-0.038539968319,-0.037761768955000004,-0.038150868637
5,0.001,5000,115.9989299774,7.070085224,-7.046512183,-25.27868152,25.301689968,25.526207139,-25.499248541,-7.239667815,7.282640082,1000000.0,-0.036908858273,-0.036058063591,-0.036483460932
6,0.001,4500,116.00027771,7.285476552,-7.263820493,-25.05804566,25.112111136,25.296770352,-25.264941265,-7.451217528,7.475994852,1000000.0,-0.036012414571999996,-0.035242944416000004,-0.035627679494
7,0.001,4000,116.0003978729,7.511273418,-7.475766451,-24.849829232,24.898430471,25.076812775,-25.05621905,-7.647701459,7.673797211,1000000.0,-0.035145991956,-0.034426761033,-0.034786376494500004
8,0.001,3500,116.000415802,7.709879111,-7.660334792,-24.648800123,24.681298099,24.867698947,-24.847440245,-7.848943585,7.888683333,1000000.0,-0.034344925289,-0.033592471304,-0.0339686982965
9,0.001,3000,116.0003677368,7.901311221,-7.887034251,-24.424717634,24.45936415,24.673644081,-24.638904645,-8.053816652,8.066872871,1000000.0,-0.033524203254,-0.032763392261,-0.033143797757499996
10,0.001,2500,116.0001411438,8.12519851,-8.073413047,-24.225416471,24.254603803,24.455533321,-24.44000864,-8.234738167,8.281653914,1000000.0,-0.032696930404,-0.03196362819299999,-0.03233027929849999
11,0.001,2000,116.0004398346,8.280742497,-8.275859265,-24.002157314,24.036773331,24.273385046,-24.215682036,-8.444366329,8.475617837,1000000.0,-0.03193246532,-0.031118946479,-0.0315257058995
12,0.001,1500,116.0003063202,8.448620079,-8.431409381,-23.795955618,23.827751552,24.063671449,-24.035293452,-8.635897585,8.681614127,1000000.0,-0.031218935441000004,-0.030306195458,-0.030762565449500002
13,0.001,1000,116.0000610352,8.656036512,-8.62506659,-23.58449155,23.611666687,23.857666771,-23.821324782,-8.809641994,8.859502652,1000000.0,-0.030397888451000003,-0.029527013591000004,-0.029962451021
14,0.001,500,116.0003753662,8.844324167,-8.80549222,-23.400743409,23.427821628,23.64613821,-23.65464614,-9.000459732,9.016555337,1000000.0,-0.029650967963,-0.02881154996800001,-0.029231258965500002
15,0.001,0,116.0002696991,9.013929007,-8.960329907,-23.216085029,23.259505564,23.506428361,-23.489093845,-9.157730322,9.192834104,1000000.0,-0.029021263292,-0.028125026167,-0.0285731447295
16,0.001,-500,116.0002174377,9.122685087,-9.069593346,-23.08945,23.125581025,23.387096909,-23.367398099,-9.283163072,9.306538362,1000000.0,-0.028562216575,-0.027625329591000003,-0.028093773083
17,0.001,-1000,116.0003406525,9.111471785,-9.100111966,-23.112278463,23.143389742,23.375860977,-23.351315421,-9.275775867,9.311899361,1000000.0,-0.028515592646999998,-0.027667992976999997,-0.028091792812
18,0.001,-1500,116.000453949,8.948526496,-8.922117433,-23.293420305,23.330370939,23.534446238,-23.479889486,-9.148733544,9.169686524,1000000.0,-0.029143691795000003,-0.028305371176000002,-0.028724531485500002
19,0.001,-2000,116.0002876282,10.491812484,-10.551828898,-21.652891265,21.635182098,21.847133051,-21.737796751,-10.788042853,10.854278981,1000000.0,-0.02254128842,-0.021645751529,-0.0220935199745
20,0.001,-2500,116.0003948212,15.9058145,-16.021709564,-16.355239663,16.330554985,16.439488663,-16.29459675,-16.2067722,16.296269435,1000000.0,-0.0008065613490000025,-0.00018275301299999923,-0.0004946571810000009
21,0.001,-3000,116.0003929138,20.72723249,-20.803569788,-11.742174254,11.738061438,11.666409348,-11.545381297,-20.810571046,20.903070162,1000000.0,0.018319011632999996,0.018233405515999997,0.0182762085745
22,0.001,-3500,116.0003643036,23.141058875,-23.167799838,-9.424267162,9.455224045,9.305733507,-9.213628224,-23.07186563,23.140069279,1000000.0,0.027789496982,0.027332443701999998,0.027560970342
23,0.001,-4000,116.0004749298,24.241566939,-24.222079887,-8.383919881,8.415788171,8.259221664,-8.217655652,-24.078567179,24.10157396,1000000.0,0.03198676951,0.031380433087,0.031683601298499994
24,0.001,-4500,116.0003696442,24.799771456,-24.766257962,-7.846415726,7.880996229,7.706855898,-7.695715607,-24.640153133,24.649894891,1000000.0,0.034163457913,0.03356263606899999,0.033863046991
25,0.001,-5000,115.9999961853,25.172647099,-25.185312392,-7.474667168,7.492884435,7.371292662,-7.320328131,-24.975407085,25.026404393,1000000.0,0.035666338698000004,0.035034259875,0.035350299286500006
26,0.001,-6000,116.0004608154,25.781124526,-25.753433881,-6.929172973,6.952336974,6.810835781,-6.797172296,-25.569407771,25.617492248,1000000.0,0.037926550329999996,0.037305390072000004,0.037615970201
27,0.001,-7000,116.0001411438,26.290420575,-26.24191441,-6.449067734,6.478102738,6.331751158,-6.292714746,-26.092343759,26.120526516,1000000.0,0.039907869081,0.039285699803,0.039596784442
28,0.001,-8000,116.0000709534,26.776280184,-26.750817727,-6.015876104,6.028119526,5.910371367,-5.879223066,-26.559719969,26.592028846,1000000.0,0.041737503478,0.041107753185,0.0414226283315
29,0.001,-9000,116.0002635956,27.228481796,-27.226261422,-5.58793131,5.609881478,5.469393988,-5.441886206,-27.049842281,27.078943335,1000000.0,0.04354346302400001,0.042930972828,0.04323721792600001
30,0.001,-10000,116.0000812531,27.676109248,-27.654009978,-5.172424182,5.179100891,5.019819299,-5.008892493,-27.515981233,27.535459376,1000000.0,0.045301407434000004,0.044699915536,0.045000661485
31,0.001,-10000,116.0001651764,27.687840946,-27.666633024,-5.139265976,5.187187372,4.880528813,-4.932670507,-27.456381251,27.508428976,1000000.0,0.045541274650000005,0.044638356879,0.0450898157645
32,0.001,-9000,116.0002197266,27.248900391,-27.223837726,-5.591063497,5.596839831,5.453407497,-5.418631221,-26.988828917,27.033484815,1000000.0,0.043600699399,0.042834410403999996,0.0432175549015
33,0.001,-8000,116.0002124786,26.793976478,-26.763181266,-5.993640897,6.023266921,5.846078499,-5.829493759,-26.568876974,26.612433316,1000000.0,0.041881585485999996,0.041164402472,0.041522993979
34,0.001,-7000,116.0004882813,26.359457042,-26.343921449,-6.401873962,6.457077065,6.25109079,-6.212460331,-26.123360512,26.151439386,1000000.0,0.040239827369999995,0.039415848871000005,0.0398278381205
35,0.001,-6000,115.9998912811,25.936158701,-25.921219182,-6.81435541,6.8700558,6.663466328,-6.653943236,-25.689352002,25.756828163,1000000.0,0.038539968318999994,0.037761768955000004,0.038150868637
36,0.001,-5000,116.0004554749,25.526207139,-25.499248541,-7.239667815,7.282640082,7.070085224,-7.046512183,-25.27868152,25.301689968,1000000.0,0.036908858273,0.036058063591,0.036483460932
37,0.001,-4500,116.0003219604,25.296770352,-25.264941265,-7.451217528,7.475994852,7.285476552,-7.263820493,-25.05804566,25.112111136,1000000.0,0.036012414572,0.035242944416000004,0.035627679494
38,0.001,-4000,116.0004863739,25.076812775,-25.05621905,-7.647701459,7.673797211,7.511273418,-7.475766451,-24.849829232,24.898430471,1000000.0,0.035145991956,0.034426761033000006,0.034786376494500004
39,0.001,-3500,116.0003017426,24.867698947,-24.847440245,-7.848943585,7.888683333,7.709879111,-7.660334792,-24.648800123,24.681298099,1000000.0,0.034344925289,0.033592471304,0.0339686982965
40,0.001,-3000,116.0003360748,24.673644081,-24.638904645,-8.053816652,8.066872871,7.901311221,-7.887034251,-24.424717634,24.45936415,1000000.0,0.033524203254,0.032763392261,0.033143797757499996
41,0.001,-2500,116.0008899689,24.455533321,-24.44000864,-8.234738167,8.281653914,8.12519851,-8.073413047,-24.225416471,24.254603803,1000000.0,0.032696930404,0.031963628193,0.0323302792985
42,0.001,-2000,116.0001483917,24.273385046,-24.215682036,-8.444366329,8.475617837,8.280742497,-8.275859265,-24.002157314,24.036773331,1000000.0,0.031932465320000006,0.031118946479,0.0315257058995
43,0.001,-1500,116.0005458832,24.063671449,-24.035293452,-8.635897585,8.681614127,8.448620079,-8.431409381,-23.795955618,23.827751552,1000000.0,0.031218935441,0.030306195458,0.0307625654495
44,0.001,-1000,116.0003551483,23.857666771,-23.821324782,-8.809641994,8.859502652,8.656036512,-8.62506659,-23.58449155,23.611666687,1000000.0,0.030397888451000003,0.029527013591,0.029962451021
45,0.001,-500,116.0003665924,23.64613821,-23.65464614,-9.000459732,9.016555337,8.844324167,-8.80549222,-23.400743409,23.427821628,1000000.0,0.029650967963000006,0.028811549968000002,0.029231258965500002
46,0.001,0,116.0006797791,23.506428361,-23.489093845,-9.157730322,9.192834104,9.013929007,-8.960329907,-23.216085029,23.259505564,1000000.0,0.029021263292,0.028125026167,0.0285731447295
47,0.001,500,116.0002048492,23.387096909,-23.367398099,-9.283163072,9.306538362,9.122685087,-9.069593346,-23.08945,23.125581025,1000000.0,0.028562216575,0.027625329591,0.028093773082999998
48,0.001,1000,116.0006408691,23.375860977,-23.351315421,-9.275775867,9.311899361,9.111471785,-9.100111966,-23.112278463,23.143389742,1000000.0,0.028515592646999998,0.027667992976999997,0.028091792812
49,0.001,1500,116.0003635406,23.534446238,-23.479889486,-9.148733544,9.169686524,8.948526496,-8.922117433,-23.293420305,23.330370939,1000000.0,0.029143691795000006,0.028305371176000002,0.028724531485500006
50,0.001,2000,116.0005191803,21.847133051,-21.737796751,-10.788042853,10.854278981,10.491812484,-10.551828898,-21.652891265,21.635182098,1000000.0,0.022541288420000003,0.021645751529,0.0220935199745
51,0.001,2500,116.0006931305,16.439488663,-16.29459675,-16.2067722,16.296269435,15.9058145,-16.021709564,-16.355239663,16.330554985,1000000.0,0.0008065613490000061,0.00018275301299999568,0.0004946571810000009
52,0.001,3000,116.0003910065,11.666409348,-11.545381297,-20.810571046,20.903070162,20.72723249,-20.803569788,-11.742174254,11.738061438,1000000.0,-0.018319011633,-0.018233405515999997,-0.0182762085745
53,0.001,3500,116.0006496429,9.305733507,-9.213628224,-23.07186563,23.140069279,23.141058875,-23.167799838,-9.424267162,9.455224045,1000000.0,-0.027789496982,-0.027332443701999998,-0.027560970342
54,0.001,4000,116.0000480652,8.259221664,-8.217655652,-24.078567179,24.10157396,24.241566939,-24.222079887,-8.383919881,8.415788171,1000000.0,-0.03198676951,-0.031380433087,-0.031683601298499994
55,0.001,4500,116.0002326965,7.706855898,-7.695715607,-24.640153133,24.649894891,24.799771456,-24.766257962,-7.846415726,7.880996229,1000000.0,-0.034163457913,-0.033562636069,-0.033863046991
