,I,B,T,V1,V2,V3,V4,V5,V6,V7,V8,multiplier,RHc,RHd,R
0,0.001,10000,200.026020813,25.150914875,-25.069516061,-15.103062351,15.163788195,15.3083298713,-15.2762448073,-25.219241695,25.3018401103,1000000.0,0.019635856257399997,0.0202542312593,0.019945043758349996
1,0.001,9000,200.0091156006,24.685836015,-24.599950728,-15.5995132911,15.6811327762,15.8012672712,-15.7639763786,-24.7210787968,24.8081178443,1000000.0,0.0177205430932,0.018248550573800003,0.017984546833500002
2,0.001,8000,200.0052055359,24.184125707,-24.131167704,-16.1089241244,16.1659486028,16.3120283278,-16.2732747623,-24.218717123,24.3007048488,1000000.0,0.015729990320899997,0.016244549244599994,0.015987269782749995
3,0.001,7000,200.0018814087,23.670731928,-23.658588123,-16.6155231521,16.7048167448,16.8111855209,-16.788825468,-23.7374515773,23.7990206224,1000000.0,0.013729309062099997,0.014216132302800005,0.01397272068245
4,0.001,6000,200.0006439209,23.184447418,-23.149264422,-17.1005844437,17.1944356043,17.325827077,-17.2949434503,-23.2290009861,23.3030954603,1000000.0,0.011712941312700008,0.012237076398400003,0.011975008855550005
5,0.001,5000,199.9995674133,22.7186834072,-22.6877330204,-17.6300006596,17.7096899148,17.8152927558,-17.8093380013,-22.7245046909,22.808658968,1000000.0,0.0097817856705,0.010193473084500006,0.009987629377500003
6,0.001,4500,199.9995826721,22.4879958692,-22.4492585185,-17.8984807994,17.9675633497,18.0682709944,-18.0454956081,-22.4784182956,22.5692432647,1000000.0,0.008823487785199993,0.009181617411199994,0.009002552598199993
7,0.001,4000,200.0003540039,22.2144629083,-22.2049773184,-18.1345596411,18.2210594321,18.3052713786,-18.3099405783,-22.2459938502,22.3189012652,1000000.0,0.007804228269800003,0.008209276042199998,0.008006752156
8,0.001,3500,199.9994270325,21.9635120113,-21.9524408875,-18.3968620985,18.4822639197,18.5887587715,-18.5735664158,-21.9879428983,22.0741973541,1000000.0,0.006753627711500002,0.007183014234200002,0.006968320972850002
9,0.001,3000,200.0003257751,21.7374030247,-21.6878249021,-18.6629636434,18.7295376508,18.8395174597,-18.8022776578,-21.7366998789,21.8271198342,1000000.0,0.005783432809300003,0.0061713184189,0.005977375614100002
10,0.001,2500,200.0004249573,21.472340452,-21.445608853,-18.910986948,19.0086117508,19.0857327469,-19.0644763792,-21.4765632362,21.5686438434,1000000.0,0.004767740178900002,0.005125608380799999,0.004946674279850001
11,0.001,2000,200.0003410339,21.2450793137,-21.2293836634,-19.1674611785,19.251436942,19.3124338773,-19.3009111479,-21.2436821563,21.3149897503,1000000.0,0.003861117951900006,0.004139773786099998,0.004000445869000002
12,0.001,1500,200.0001625061,20.9957788911,-20.9637242859,-19.4178774846,19.5074817155,19.5709429776,-19.5627166292,-20.9809709509,21.0635986984,1000000.0,0.0028258435702,0.003119210449199997,0.0029725270096999986
13,0.001,1000,200.0000480652,20.7537743625,-20.7041641446,-19.6752160121,19.7494002829,19.8485612415,-19.8064639685,-20.7237579866,20.8158130057,1000000.0,0.0018029132970999945,0.002114954697299993,0.001958933997199994
14,0.001,500,200.0003730774,20.4821623709,-20.4478680859,-19.9112442339,20.0072821824,20.0935393144,-20.0513394632,-20.4829606275,20.5674157443,1000000.0,0.0007851516791999948,0.0011318499555000017,0.0009585008173499983
15,0.001,0,200.0000450134,20.2149119974,-20.2027710604,-20.1840497718,20.2567026781,20.3482778532,-20.3451709246,-20.2482449865,20.3280566419,1000000.0,-0.0002757657199999954,0.0001355491784999998,-7.010827074999781e-05
16,0.001,-500,200.0007629395,19.9882210516,-19.9626003394,-20.4281914829,20.5159010154,20.6113364369,-20.5691153231,-19.9907558541,20.0648491171,1000000.0,-0.0012296303689999953,-0.0008884875271000006,-0.001059058948049998
17,0.001,-1000,200.0003456116,19.7444678685,-19.7231141941,-20.6743274449,20.7734063055,20.8323523592,-20.8398629666,-19.7549440623,19.8336661957,1000000.0,-0.002204633263199998,-0.001859123492400002,-0.0020318783778
18,0.001,-1500,200.0008239746,19.4960909409,-19.467448892,-20.9557748391,21.0274980422,21.1136419595,-21.0755998056,-19.4964268129,19.5750185425,1000000.0,-0.0032257019322000035,-0.002911827525899994,-0.003068764729049999
19,0.001,-2000,200.0005233765,19.2688700579,-19.2230683861,-21.1923848093,21.2774001376,21.3557226537,-21.3369791765,-19.2483002184,19.3258085909,1000000.0,-0.004200763386200002,-0.003895676137599999,-0.0040482197619
20,0.001,-2500,200.0005775452,19.0194229444,-18.9967634206,-21.4512935069,21.5372774921,21.6115301951,-21.5711134869,-19.0035881995,19.0915339148,1000000.0,-0.005166457317000003,-0.004893448884700003,-0.005029953100850003
21,0.001,-3000,200.0003677368,18.7643012317,-18.7518939139,-21.7068936564,21.7873834816,21.8736070241,-21.8599343026,-18.7803996491,18.8564689331,1000000.0,-0.006217346181100005,-0.0058574085557999995,-0.006037377368450002
22,0.001,-3500,199.9999588013,18.5252004128,-18.4684170318,-21.9579227668,22.0367788948,22.1273173756,-22.1035929777,-18.5338937074,18.6067063721,1000000.0,-0.007237292908699996,-0.006854101582100004,-0.0070456972454
23,0.001,-4000,200.0001121521,18.2846356656,-18.2337810086,-22.2056799825,22.2942443554,22.3841443405,-22.3540215728,-18.2729148835,18.3634823875,1000000.0,-0.008219749239100004,-0.007863527066899998,-0.008041638153000002
24,0.001,-4500,200.0002113342,18.0204816066,-17.9910050733,-22.471044981,22.5445937428,22.6137875457,-22.5938698561,-18.0123450563,18.1181763903,1000000.0,-0.009196170721899996,-0.008885117277199995,-0.009040643999549996
