0.0001000000,-9.0806696419,9.0433066576,-9.9113592421,9.9444877064,-9.9485437252,9.5811125389,-10.1963008783,9.9578612973
0.0002000000,-19.2236554003,19.6027805061,-19.8996113544,19.8836590260,-19.0545511643,19.6855535853,-19.7593622632,20.3650958724
0.0003000000,-28.5294923645,28.7830667142,-30.3069094727,29.8223400252,-28.9295319489,28.4503890111,-30.1537671038,30.3653126505
0.0004000000,-37.8870321014,37.9869768345,-40.5368535080,39.7560628900,-38.4514338986,37.8902974924,-39.9624071841,39.4891899824
0.0005000000,-48.9283777218,48.1761600118,-50.2167978926,50.1692671539,-47.8822125846,47.2304222445,-50.3177203061,49.6899739724
0.0006000000,-56.7077839794,56.2338087472,-60.1393077466,59.9924903634,-57.1226441947,57.0062698803,-60.6927870718,59.5185910869
0.0007000000,-67.3977614939,65.8421769458,-70.1224569004,70.1341565764,-65.9295546418,67.0506312330,-69.9268888342,70.2564622314
0.0008000000,-75.3954292539,75.7255809512,-80.1405244474,80.1231925137,-76.6323984806,75.3935498128,-80.0966059720,79.7140278835
0.0009000000,-86.0478072851,85.5779560963,-90.0232064816,90.4060617576,-85.2021159046,85.1392023503,-90.3454648779,89.9893904565
0.0010000000,-93.9270487139,95.7737345635,-100.2699302332,99.6619766275,-94.5384114092,95.4286357966,-100.1242253901,99.5984226156
